day,person_i,person_j,contact_type,weight
39,496,170303,1,2.0
39,496,211218,1,2.0
39,496,264295,1,2.0
39,496,422334,1,2.0
39,496,465713,1,2.0
39,496,556219,1,2.0
39,496,850591,1,2.0
39,691,274467,1,2.0
39,691,362293,1,2.0
39,881,23330,1,2.0
39,881,337597,1,2.0
39,881,582822,1,2.0
39,881,977315,1,2.0
39,1630,221025,1,2.0
39,1657,461762,1,2.0
39,2010,333716,1,2.0
39,2010,429873,1,2.0
39,2010,856912,1,2.0
39,2294,305457,1,2.0
39,2294,347324,1,2.0
39,2294,790349,1,2.0
39,2752,75707,1,2.0
39,2752,127868,1,2.0
39,2752,305457,1,2.0
39,2752,771308,1,2.0
39,2752,789239,1,2.0
39,2752,886210,1,2.0
39,2936,229601,1,2.0
39,2936,573362,1,2.0
39,2945,549603,1,2.0
39,2971,317840,1,2.0
39,2971,449946,1,2.0
39,2971,608954,1,2.0
39,2971,840015,1,2.0
39,2971,847828,1,2.0
39,3336,254839,1,2.0
39,3336,407980,1,2.0
39,3336,416515,1,2.0
39,3891,294117,1,2.0
39,3891,587129,1,2.0
39,3891,788746,1,2.0
39,3891,959744,1,2.0
39,4458,793953,1,2.0
39,4516,68677,1,2.0
39,4516,179720,1,2.0
39,4516,452944,1,2.0
39,4516,908357,1,2.0
39,4702,46244,1,2.0
39,4702,114846,1,2.0
39,4702,305775,1,2.0
39,4702,604990,1,2.0
39,4840,51423,1,2.0
39,4840,924258,1,2.0
39,5772,786154,1,2.0
39,6090,772044,1,2.0
39,6496,315995,1,2.0
39,6496,354076,1,2.0
39,6496,394293,1,2.0
39,6496,690704,1,2.0
39,6496,917607,1,2.0
39,6843,558364,1,2.0
39,6843,882284,1,2.0
39,7002,443686,1,2.0
39,7210,362887,1,2.0
39,7210,466389,1,2.0
39,7210,473638,1,2.0
39,7593,98557,1,2.0
39,7593,189088,1,2.0
39,7593,815283,1,2.0
39,7593,886806,1,2.0
39,9195,28706,1,2.0
39,9195,505188,1,2.0
39,9195,947629,1,2.0
39,9778,591718,1,2.0
39,9778,879958,1,2.0
39,10021,267589,1,2.0
39,10021,716292,1,2.0
39,10602,155708,1,2.0
39,10602,196583,1,2.0
39,10602,459376,1,2.0
39,10602,565364,1,2.0
39,10602,656553,1,2.0
39,10607,284784,1,2.0
39,10607,853468,1,2.0
39,11006,19236,1,2.0
39,11006,35532,1,2.0
39,11006,337453,1,2.0
39,11006,479999,1,2.0
39,11006,558403,1,2.0
39,11013,595887,1,2.0
39,11013,706244,1,2.0
39,11382,216368,1,2.0
