n,positive_count,positive_rate,contact_edges,weighted_graph_edges,positive_positive_edges,positive_symptomatic_count,positive_symptomatic_rate,asymptomatic_positive_count,asymptomatic_positive_rate,negative_symptomatic_count,negative_symptomatic_rate,mean_symptom_count_positive,mean_symptom_count_negative,sample_index,sample_dir,group_A_count,group_A_positive_count,group_A_positive_rate,group_B_count,group_B_positive_count,group_B_positive_rate,group_C_count,group_C_positive_count,group_C_positive_rate,group_D_count,group_D_positive_count,group_D_positive_rate
3000.0,116.0,0.03866666666666667,12108.0,6832.0,216.0,44.0,0.3793103448275862,72.0,0.6206896551724138,382.0,0.13245492371705964,0.6810344827586207,0.15187239944521497,1,openabm_sample_outputs/seed_1/samples_asymptomatic_2of3/company_n3000_sample01_maxpos5pct_work,198,39,0.19696969696969696,228,5,0.021929824561403508,1084,63,0.058118081180811805,1490,9,0.006040268456375839
3000.0,100.0,0.03333333333333333,12107.0,6980.0,243.0,38.0,0.38,62.0,0.62,378.0,0.13034482758620689,0.72,0.1510344827586207,2,openabm_sample_outputs/seed_1/samples_asymptomatic_2of3/company_n3000_sample02_maxpos5pct_work,218,35,0.16055045871559634,198,3,0.015151515151515152,1128,58,0.051418439716312055,1456,4,0.0027472527472527475
3000.0,84.0,0.028,11593.0,6672.0,155.0,39.0,0.4642857142857143,45.0,0.5357142857142857,371.0,0.12722908093278465,1.0357142857142858,0.1467764060356653,3,openabm_sample_outputs/seed_1/samples_asymptomatic_2of3/company_n3000_sample03_maxpos5pct_work,193,35,0.18134715025906736,217,4,0.018433179723502304,1011,42,0.04154302670623145,1579,3,0.0018999366687777073
3000.0,75.0,0.025,10983.0,6281.0,147.0,35.0,0.4666666666666667,40.0,0.5333333333333333,345.0,0.11794871794871795,0.9066666666666666,0.13606837606837607,4,openabm_sample_outputs/seed_1/samples_asymptomatic_2of3/company_n3000_sample04_maxpos5pct_work,146,31,0.21232876712328766,234,4,0.017094017094017096,1004,37,0.036852589641434265,1616,3,0.0018564356435643563
3000.0,69.0,0.023,11378.0,6467.0,125.0,25.0,0.36231884057971014,44.0,0.6376811594202898,374.0,0.1276015011941317,0.6666666666666666,0.14261344251108837,5,openabm_sample_outputs/seed_1/samples_asymptomatic_2of3/company_n3000_sample05_maxpos5pct_work,180,22,0.12222222222222222,219,3,0.0136986301369863,1042,36,0.0345489443378119,1559,8,0.005131494547787043
3000.0,58.0,0.019333333333333334,10919.0,6130.0,104.0,27.0,0.46551724137931033,31.0,0.5344827586206896,365.0,0.12406526172671652,1.0,0.14174031271244053,6,openabm_sample_outputs/seed_1/samples_asymptomatic_2of3/company_n3000_sample06_maxpos5pct_work,142,24,0.16901408450704225,250,3,0.012,1003,27,0.026919242273180457,1605,4,0.0024922118380062306
3000.0,55.0,0.018333333333333333,10893.0,6113.0,92.0,25.0,0.45454545454545453,30.0,0.5454545454545454,381.0,0.1293718166383701,0.7272727272727273,0.14906621392190153,7,openabm_sample_outputs/seed_1/samples_asymptomatic_2of3/company_n3000_sample07_maxpos5pct_work,171,25,0.14619883040935672,235,0,0.0,1035,28,0.02705314009661836,1559,2,0.0012828736369467607
3000.0,52.0,0.017333333333333333,10361.0,5798.0,90.0,21.0,0.40384615384615385,31.0,0.5961538461538461,360.0,0.12211668928086838,0.7884615384615384,0.14687924016282225,8,openabm_sample_outputs/seed_1/samples_asymptomatic_2of3/company_n3000_sample08_maxpos5pct_work,146,20,0.136986301369863,235,1,0.00425531914893617,986,28,0.028397565922920892,1633,3,0.001837109614206981
3000.0,51.0,0.017,10856.0,6088.0,106.0,12.0,0.23529411764705882,39.0,0.7647058823529411,365.0,0.12377076975245846,0.5098039215686274,0.14140386571719227,9,openabm_sample_outputs/seed_1/samples_asymptomatic_2of3/company_n3000_sample09_maxpos5pct_work,151,11,0.0728476821192053,226,1,0.004424778761061947,1012,32,0.03162055335968379,1611,7,0.004345127250155183
3000.0,65.0,0.021666666666666667,11091.0,6329.0,99.0,33.0,0.5076923076923077,32.0,0.49230769230769234,383.0,0.13049403747870528,0.9230769230769231,0.1526405451448041,10,openabm_sample_outputs/seed_1/samples_asymptomatic_2of3/company_n3000_sample10_maxpos5pct_work,184,31,0.16847826086956522,232,2,0.008620689655172414,1075,31,0.02883720930232558,1509,1,0.0006626905235255136
3000.0,62.0,0.020666666666666667,10820.0,6110.0,122.0,24.0,0.3870967741935484,38.0,0.6129032258064516,391.0,0.13308373042886318,0.7580645161290323,0.15078284547311097,11,openabm_sample_outputs/seed_1/samples_asymptomatic_2of3/company_n3000_sample11_maxpos5pct_work,166,23,0.13855421686746988,249,1,0.004016064257028112,1019,35,0.03434739941118744,1566,3,0.0019157088122605363
