day,person_i,person_j,contact_type,weight
39,52,98282,1,2.0
39,52,635070,1,2.0
39,335,782623,1,2.0
39,681,413245,1,2.0
39,681,509874,1,2.0
39,681,752977,1,2.0
39,1223,78440,1,2.0
39,1223,390371,1,2.0
39,1223,479239,1,2.0
39,1223,562849,1,2.0
39,1223,793824,1,2.0
39,1223,845260,1,2.0
39,1223,879851,1,2.0
39,1223,925045,1,2.0
39,1954,364546,1,2.0
39,2985,20793,1,2.0
39,2985,72389,1,2.0
39,2985,740487,1,2.0
39,2985,781949,1,2.0
39,2999,740487,1,2.0
39,3150,76219,1,2.0
39,3150,160356,1,2.0
39,3150,401099,1,2.0
39,3150,497685,1,2.0
39,3150,640999,1,2.0
39,3150,679918,1,2.0
39,3322,120763,1,2.0
39,3534,14718,1,2.0
39,3534,556801,1,2.0
39,4567,403420,1,2.0
39,4567,532412,1,2.0
39,4567,577067,1,2.0
39,4567,646766,1,2.0
39,4567,864231,1,2.0
39,4567,914145,1,2.0
39,5457,14864,1,2.0
39,5457,112744,1,2.0
39,7054,343439,1,2.0
39,7835,395942,1,2.0
39,7835,439959,1,2.0
39,7976,328833,1,2.0
39,7976,751913,1,2.0
39,7976,962981,1,2.0
39,8156,949797,1,2.0
39,8264,49726,1,2.0
39,8264,467096,1,2.0
39,8517,327507,1,2.0
39,9542,709759,1,2.0
39,10747,778946,1,2.0
39,10936,134465,1,2.0
39,10936,144128,1,2.0
39,10936,183049,1,2.0
39,10936,415223,1,2.0
39,11213,298796,1,2.0
39,11213,438324,1,2.0
39,11213,727555,1,2.0
39,11213,904661,1,2.0
39,11424,698659,1,2.0
39,11735,215378,1,2.0
39,11735,252032,1,2.0
39,11735,576645,1,2.0
39,11982,69379,1,2.0
39,11982,479239,1,2.0
39,11982,497721,1,2.0
39,11982,510654,1,2.0
39,11982,636202,1,2.0
39,11982,844731,1,2.0
39,12739,282819,1,2.0
39,12739,478468,1,2.0
39,12875,111035,1,2.0
39,12875,483403,1,2.0
39,12875,622772,1,2.0
39,12875,650278,1,2.0
39,13313,584322,1,2.0
39,13313,934716,1,2.0
39,13314,630481,1,2.0
39,13753,85695,1,2.0
39,13753,409175,1,2.0
39,13753,488983,1,2.0
39,13753,508406,1,2.0
39,13753,685321,1,2.0
39,13753,725703,1,2.0
39,13753,822123,1,2.0
39,14685,90664,1,2.0
39,14685,219107,1,2.0
39,14685,385665,1,2.0
39,14685,688189,1,2.0
39,14685,737618,1,2.0
39,14685,870469,1,2.0
39,14685,898612,1,2.0
39,14727,127979,1,2.0
39,14727,194222,1,2.0
39,14727,322576,1,2.0
39,14727,767595,1,2.0
39,14727,973740,1,2.0
39,14864,333983,1,2.0
39,14864,938474,1,2.0
39,15156,64391,1,2.0
39,15156,125360,1,2.0
39,15156,172520,1,2.0
39,15156,507950,1,2.0
39,15156,595927,1,2.0
39,15156,886868,1,2.0
39,15314,69567,1,2.0
39,15314,532246,1,2.0
39,17113,330576,1,2.0
39,17113,399408,1,2.0
39,17113,697675,1,2.0
39,17113,712321,1,2.0
39,17977,661653,1,2.0
39,18478,117887,1,2.0
39,18478,346790,1,2.0
39,18478,468593,1,2.0
39,18478,603088,1,2.0
39,18478,698659,1,2.0
39,18672,80082,1,2.0
39,18672,183523,1,2.0
39,18672,601757,1,2.0
39,19046,137928,1,2.0
39,19046,203588,1,2.0
39,19046,317073,1,2.0
39,19046,340081,1,2.0
39,19046,408915,1,2.0
39,19046,737081,1,2.0
39,19046,959896,1,2.0
39,19693,190639,1,2.0
39,19835,120723,1,2.0
39,19835,129267,1,2.0
39,19835,153058,1,2.0
39,19835,163302,1,2.0
39,19835,666274,1,2.0
39,19835,694023,1,2.0
39,19835,717975,1,2.0
39,19835,914145,1,2.0
39,19851,946783,1,2.0
39,20058,422548,1,2.0
39,20058,505196,1,2.0
39,20058,798235,1,2.0
39,20752,907851,1,2.0
39,20793,72389,1,2.0
39,20793,262893,1,2.0
39,20793,331190,1,2.0
39,20793,781949,1,2.0
39,20965,151639,1,2.0
39,20965,168560,1,2.0
39,21900,98797,1,2.0
39,21900,158042,1,2.0
39,21900,261641,1,2.0
39,21900,381183,1,2.0
39,21900,448522,1,2.0
39,22197,82758,1,2.0
39,22201,322119,1,2.0
39,22201,880958,1,2.0
39,22963,525955,1,2.0
39,22963,771142,1,2.0
39,23422,260798,1,2.0
39,23422,388585,1,2.0
39,23422,618749,1,2.0
39,23422,652777,1,2.0
39,23422,881260,1,2.0
39,23543,194503,1,2.0
39,23661,821607,1,2.0
39,23781,139628,1,2.0
39,23781,166293,1,2.0
39,23781,688618,1,2.0
