day,person_i,person_j,contact_type,weight
39,270,225091,1,2.0
39,381,163711,1,2.0
39,381,173378,1,2.0
39,381,306600,1,2.0
39,381,315620,1,2.0
39,381,713937,1,2.0
39,603,122364,1,2.0
39,603,628531,1,2.0
39,707,199384,1,2.0
39,1306,767426,1,2.0
39,3649,886515,1,2.0
39,3715,866078,1,2.0
39,6857,841182,1,2.0
39,7176,425268,1,2.0
39,7176,801222,1,2.0
39,7176,810008,1,2.0
39,7762,301273,1,2.0
39,7762,772524,1,2.0
39,7762,883524,1,2.0
39,7848,613906,1,2.0
39,8616,62958,1,2.0
39,8616,999632,1,2.0
39,8764,963770,1,2.0
39,8812,471157,1,2.0
39,8998,215632,1,2.0
39,8998,513669,1,2.0
39,9272,65438,1,2.0
39,9272,110264,1,2.0
39,9548,102077,1,2.0
39,9548,528152,1,2.0
39,9548,657688,1,2.0
39,9562,377270,1,2.0
39,9709,746312,1,2.0
39,9709,965868,1,2.0
39,9847,250722,1,2.0
39,9847,646319,1,2.0
39,9847,750569,1,2.0
39,10480,897843,1,2.0
39,10493,91679,1,2.0
39,10493,123900,1,2.0
39,10493,173724,1,2.0
39,11369,416790,1,2.0
39,11369,739224,1,2.0
39,11369,975109,1,2.0
39,12258,509571,1,2.0
39,12282,756731,1,2.0
39,12351,245742,1,2.0
39,12351,748310,1,2.0
39,12351,959230,1,2.0
39,12867,464707,1,2.0
39,12867,476255,1,2.0
39,12867,511364,1,2.0
39,12867,531115,1,2.0
39,12867,839413,1,2.0
39,12867,996501,1,2.0
39,12951,472708,1,2.0
39,12951,660509,1,2.0
39,12951,670743,1,2.0
39,12951,911009,1,2.0
39,12951,960179,1,2.0
39,13121,419773,1,2.0
39,13121,642725,1,2.0
39,13699,82063,1,2.0
39,13699,190260,1,2.0
39,13699,872101,1,2.0
39,13699,991693,1,2.0
39,13988,418221,1,2.0
39,15152,152981,1,2.0
39,15152,262071,1,2.0
39,15152,478640,1,2.0
39,15152,546741,1,2.0
39,16133,121783,1,2.0
39,16133,364222,1,2.0
39,16133,848962,1,2.0
39,16143,346855,1,2.0
39,16143,471157,1,2.0
39,16143,710597,1,2.0
39,16143,714153,1,2.0
39,16143,863105,1,2.0
39,16215,340918,1,2.0
39,16215,623157,1,2.0
39,16657,674816,1,2.0
39,16657,993187,1,2.0
39,16693,94724,1,2.0
39,16693,305470,1,2.0
39,17026,668897,1,2.0
39,17068,297167,1,2.0
39,17068,605884,1,2.0
39,17068,830728,1,2.0
39,17068,894638,1,2.0
39,17513,199384,1,2.0
39,17513,812413,1,2.0
39,17513,836400,1,2.0
39,17513,889136,1,2.0
39,18855,412780,1,2.0
39,19927,57419,1,2.0
39,19927,954634,1,2.0
39,19927,967649,1,2.0
39,20219,200492,1,2.0
39,20957,98435,1,2.0
39,20957,872657,1,2.0
39,20957,925211,1,2.0
39,20957,932020,1,2.0
39,21003,633557,1,2.0
39,21003,741037,1,2.0
39,21299,590791,1,2.0
39,21482,37006,1,2.0
39,21482,369941,1,2.0
39,21482,573145,1,2.0
39,21482,724876,1,2.0
39,21482,802091,1,2.0
39,21719,886926,1,2.0
39,21881,65008,1,2.0
39,22058,89666,1,2.0
39,22058,107913,1,2.0
39,22058,120808,1,2.0
39,22058,204199,1,2.0
39,22058,207263,1,2.0
39,22058,920885,1,2.0
39,22058,924318,1,2.0
39,22058,949803,1,2.0
39,22699,69823,1,2.0
39,22699,100453,1,2.0
39,22699,498447,1,2.0
39,22699,520555,1,2.0
39,22699,814629,1,2.0
39,23121,692167,1,2.0
39,24256,196311,1,2.0
39,24256,482839,1,2.0
39,24256,946788,1,2.0
39,25888,337621,1,2.0
39,25888,344158,1,2.0
39,25888,516391,1,2.0
39,25888,625265,1,2.0
39,26017,271704,1,2.0
39,26017,361731,1,2.0
39,26157,876483,1,2.0
39,26580,60146,1,2.0
39,26580,494247,1,2.0
39,26580,574439,1,2.0
39,26580,744198,1,2.0
39,26580,855317,1,2.0
39,26580,880766,1,2.0
39,26684,327101,1,2.0
39,26684,704158,1,2.0
39,26684,838705,1,2.0
39,26684,995953,1,2.0
39,27239,71131,1,2.0
39,27239,304417,1,2.0
39,27239,561983,1,2.0
39,27239,614953,1,2.0
39,27239,642947,1,2.0
39,27239,737902,1,2.0
39,27516,195771,1,2.0
39,27863,99334,1,2.0
39,27863,275479,1,2.0
39,27863,412780,1,2.0
39,27863,969967,1,2.0
39,27992,109843,1,2.0
39,27992,495279,1,2.0
39,27992,556286,1,2.0
39,27992,989570,1,2.0
39,28157,836400,1,2.0
39,28157,889136,1,2.0
39,28224,45024,1,2.0
39,28224,464069,1,2.0
39,28224,976871,1,2.0
39,28270,44101,1,2.0
39,28270,179649,1,2.0
39,28270,201525,1,2.0
39,28270,583702,1,2.0
39,29441,561361,1,2.0
39,29794,474734,1,2.0
39,29794,703729,1,2.0
39,30551,807313,1,2.0
39,30786,843298,1,2.0
39,32259,119064,1,2.0
39,32259,234085,1,2.0
39,32259,607219,1,2.0
39,32259,849512,1,2.0
39,32259,883898,1,2.0
39,32259,917906,1,2.0
39,32801,672333,1,2.0
39,32801,689663,1,2.0
39,33433,853324,1,2.0
39,33751,46321,1,2.0
39,33751,135653,1,2.0
39,33751,209682,1,2.0
39,33751,507433,1,2.0
39,33751,682031,1,2.0
39,33766,835410,1,2.0
39,33766,953127,1,2.0
39,33961,311689,1,2.0
39,34735,198865,1,2.0
39,34735,728081,1,2.0
39,34735,986612,1,2.0
39,35312,202171,1,2.0
39,35312,259428,1,2.0
39,35312,288703,1,2.0
39,35312,602913,1,2.0
39,35312,750630,1,2.0
39,35312,839522,1,2.0
39,35494,149919,1,2.0
39,36150,703729,1,2.0
39,37006,369941,1,2.0
39,37006,724876,1,2.0
39,37115,263222,1,2.0
39,37115,278996,1,2.0
39,37115,625416,1,2.0
39,37115,959279,1,2.0
39,37217,107613,1,2.0
39,37217,285130,1,2.0
39,37217,853324,1,2.0
39,37499,969951,1,2.0
39,37830,43582,1,2.0
39,37830,393945,1,2.0
39,37830,424886,1,2.0
39,38051,84371,1,2.0
39,38211,166587,1,2.0
39,38211,530001,1,2.0
39,38211,531557,1,2.0
39,38211,771475,1,2.0
39,38645,234376,1,2.0
39,38841,630800,1,2.0
39,39964,416833,1,2.0
39,39964,490689,1,2.0
39,39964,699636,1,2.0
39,39964,869930,1,2.0
39,40221,609696,1,2.0
39,40307,271704,1,2.0
39,40321,605688,1,2.0
39,40321,811574,1,2.0
39,41635,234376,1,2.0
39,41635,327882,1,2.0
39,41635,559807,1,2.0
39,42006,750697,1,2.0
39,42188,156161,1,2.0
39,42395,58385,1,2.0
39,42395,183303,1,2.0
