sample_id,source_sample_name,total_n,positive_count,negative_count,symptomatic_positive_count,asymptomatic_positive_count,symptomatic_positive_rate,asymptomatic_positive_rate,symptomatic_negative_count,asymptomatic_negative_count,symptomatic_negative_rate,asymptomatic_negative_rate,positive_rate,contact_edges,average_degree,status
sample_001,company_n3000_sample01_maxpos5pct_work,3000,116,2884,44,72,0.3793103448275862,0.6206896551724138,382,2502,0.13245492371705964,0.8675450762829403,0.03866666666666667,12108,8.072,ok
sample_002,company_n3000_sample02_maxpos5pct_work,3000,100,2900,38,62,0.38,0.62,378,2522,0.13034482758620689,0.8696551724137931,0.03333333333333333,12107,8.071333333333333,ok
sample_003,company_n3000_sample03_maxpos5pct_work,3000,84,2916,39,45,0.4642857142857143,0.5357142857142857,371,2545,0.12722908093278465,0.8727709190672154,0.028,11593,7.728666666666666,ok
sample_004,company_n3000_sample04_maxpos5pct_work,3000,75,2925,35,40,0.4666666666666667,0.5333333333333333,345,2580,0.11794871794871795,0.882051282051282,0.025,10983,7.322,ok
sample_005,company_n3000_sample05_maxpos5pct_work,3000,69,2931,25,44,0.36231884057971014,0.6376811594202898,374,2557,0.1276015011941317,0.8723984988058683,0.023,11378,7.585333333333334,ok
sample_006,company_n3000_sample06_maxpos5pct_work,3000,58,2942,27,31,0.46551724137931033,0.5344827586206896,365,2577,0.12406526172671652,0.8759347382732835,0.019333333333333334,10919,7.279333333333334,ok
sample_007,company_n3000_sample07_maxpos5pct_work,3000,55,2945,25,30,0.45454545454545453,0.5454545454545454,381,2564,0.1293718166383701,0.8706281833616298,0.018333333333333333,10893,7.262,ok
sample_008,company_n3000_sample08_maxpos5pct_work,3000,52,2948,21,31,0.40384615384615385,0.5961538461538461,360,2588,0.12211668928086838,0.8778833107191316,0.017333333333333333,10361,6.907333333333334,ok
sample_009,company_n3000_sample09_maxpos5pct_work,3000,51,2949,12,39,0.23529411764705882,0.7647058823529411,365,2584,0.12377076975245846,0.8762292302475415,0.017,10856,7.237333333333333,ok
sample_010,company_n3000_sample10_maxpos5pct_work,3000,65,2935,33,32,0.5076923076923077,0.49230769230769234,383,2552,0.13049403747870528,0.8695059625212948,0.021666666666666667,11091,7.394,ok
sample_011,company_n3000_sample11_maxpos5pct_work,3000,62,2938,24,38,0.3870967741935484,0.6129032258064516,391,2547,0.13308373042886318,0.8669162695711369,0.020666666666666667,10820,7.213333333333333,ok
